,Product Name,Price,Rating,About,Top Review
0,"Pigeon by Stovekraft Amaze Plus Electric Kettle (14289) with Stainless Steel Body, 1.5 litre, used for boiling Water, making tea and coffee, instant noodles, soup etc. 1500 Watt (Silver)",549.,3.9 out of 5 stars,"About this item    CLASSIC DESIGN: The classical mirror polish of the appearance makes your electric kettle unique and aesthetic, which can match any type of kitchen design and 360° swivel base is connected with standard power cord for safe usage and convenient storage    CORDLESS POURING: The electric kettle can be easily lifts from its swivel base for easy filling at the sink and graceful serving without the hassle of a power cord; it can also be returned to its power source from any direction, great for right and left-handed users.    CONVENIENT: The cordless & BPA-Free electric electric kettle makes a striking presence on any kitchen counter or buffet in preparing and serving and it is easy for storage    FAST BOIL: This 1500W electric kettle has concealed heating elements and can boil up to 1.5 litres of water in 5 to 7 minutes, quicker and safer. Start your day with a cup of instant lemon tea, green tea, hot water.    EASY CLEAN: Use white vinegar, baking soda, water, cleaning bottle brush and microfiber cloth to clean your electric kettle and keep it looking new.    Water Level Indicator: No","Somehow Amazon sucks when you want to select an electric kettle. There are no options to filter your choices based on the parameters that matter. It is easy to fall into the trap of an ongoing deal and end up buying something that falls short of what you need. In this review I will answer your questions about the PIGEON AMAZE PLUS 1.5L ELECTRIC KETTLE.1. Can I trust the reviews for this ad? Are they genuine?Probably yes. But know that the seller lists several types of PIGEON Kettles in the same ad. Unless the review refers to this particular model - you could well end up seeing a review of a product and buying a different one. The ratings are also an aggregated mix. There could be 10 negative review of the product you are seeing and 10 positives for the other products. The page will show you a neutral review. That's the game sellers are playing these days - to avoid negative reviews. I have posted a picture of the stove I am referring to in this review.2. WATTAGE: Important because this tells how quickly the water will heat up. This one is 1500W - meaning that you can switch it on ... brush your teeth and find the water is boiled. Great time saving !! My earlier one was 900W and it used to take 10-15 minutes of patient waiting. The gas stove boiled water faster. This one takes about 3-4 mins to heat 2 mugs of coffee3. CABLE LENGTH: Most of these kettle makers skimp on the cable length. I have purchased kettles to find they have only a 2-foot long cable ... and I had to return them. This one has cable length of 22"" (slightly more than one meter) - which is allows a comfortable distance between the kettle and the plug.4.  CONNECTOR:  This one uses a 6A plug - which is most common in India. Be careful because from >1500W onwards, most kettles use a 16A plug and that is not always available at the place where you want to place the kettle. Strictly speaking, it should have a 16A plug, but then this is kept on for short intervals only.5.  CAPACITY:  1.7 litres as mentioned - though I could not see markings for max and min levels. This is good enough to make 4-5 decent sized mugs of coffee6.  COOKING OTHER STUFF:  The ad says only water - but I see no reason why you cannot heat Maggi etc. Maybe you can. But avoid milk as the expanding effect will cause spills and this can have adverse effects.7. LOOKS: Quite okay for the price. It will not make your kitchen look bad - and neither will it enhance the looks. This is the most common look that an electric kettle can have.8. PERFORMANCE: I have used for 2 days only. No complaints so far. There is a 1-year guarantee card accompanying the product9. HANDLE: Very convenient feel when you lift it it from the heating cradle. Does not feel very heavy even if there is a full 1.7L of water.10. NEGATIVES: This is a steel jug. The outside will automatically heat up. If you are used to a plastic outside in your previous kettle, you need to be a little careful.VERDICT - ""BUY""(at the time of writing this review, this costs less than Rs 700. I have seen that sellers tend to inflate prices as they get my positive reviews - therefore I am also mentioning the price range based on which I gave this product a 5 star review)
Read more"
1,"Pigeon Polypropylene Mini Handy and Compact Chopper with 3 Blades for Effortlessly Chopping Vegetables and Fruits for Your Kitchen Green, 400 ml",199.,4.0 out of 5 stars,"About this item    Unique string function to chop vegetables and fruits with ease,Eco-friendly design, no electricity required,Made from unbreakable ABS plastic for long-lasting use, Material: Polypropylene (PP),Sturdy 3-blade design made from Stainless Steel, As this chopper by Pigeon can be opened and detached easily, cleaning is an easy task using lukewarm water, mild detergent and a soft cloth.Power Requirement: Manual    PC & Safety Lock lid","It is a good chopper that shreds onions & tomatoes into pieces in seconds, but as it get stuck in corners, its a bit difficult to clean & you must be careful to avoid your fingers to cut by its sharp blades.
Read more"
2,Glun Multipurpose Portable Electronic Digital Weighing Scale Weight Machine (10 Kg - with Back Light),249.,3.9 out of 5 stars,"About this item    Portable LCD Electronic Balance digital scale .Small and Light, Making it Convenient to Carry and Use.    LCD back light, easy to read value at day and night    Convenient weighing unit switch, data lock . Over load indication, auto power off after 120 seconds without any operation. Easy to Use.    Durable to use .","Top of scale need some space otherwise it is good for money
Read more"
3,beatXP Kitchen Scale Multipurpose Portable Electronic Digital Weighing Scale | Weight Machine With Back light LCD Display | White |10 kg | 2 Year Warranty |,395.,3.8 out of 5 stars,"About this item    ✅ [LCD Screen] : A wide LCD screen display makes this scale easy to read, and it automatically locks its reading when the data is stable.    ✅ [Multiple Features] : There are multiple features on the scale, such as an ON/OFF mode, a tare function, a unit exchange function, and an overload indicator.    ✅ [Silent Features] : BeatXP kitchen weighing has Wide Screen Display, Automatic Data Locking, Low Power Consumption, Low Battery Indicator, High Precision Sensor, When the scale is overloaded, the scale will appear O/C.    ✅ [Flat Surface] : To ensure accurate measurements, place the Kitchen weighing scale on a flat surface.    ✅ [Color] : This scale is white in color and made from PVC","I bought this product for my mom and I was extremely satisfied. The only drawback I found is, the display doesnt come with backlight, so its really hard if you are measuring in a dark room. There is a little bit of inaccuracy but it gets calibrated every time. Overall its an excellent product if you are getting it in the range of 200-300 Rupees.
Read more"
4,"Bajaj DX-6 1000W Dry Iron with Advance Soleplate and Anti-bacterial German Coating Technology, White",625.,4.1 out of 5 stars,About this item    R.D. & COMPANY Majesty DX 6 1000-Watt Dry Iron (White),"It's sturdy and high quality materials ensure durability and longevity.Iron itself is good and decent controls
Read more"
5,Bajaj Frore 1200 mm Ceiling Fan (Brown),999.,4.1 out of 5 stars,"About this item    Sweep : 1200mm, Power : 56W, Air Delivery : 205CMM;Double Ball Bearing : Increases load bearing capacity and durability    Quick-start High Torque Motor : Provides instant comfort by achieving high performance quickly;Ribbed Blades : Improves Blades Stability    Warranty : 2 years on product;Warranty: 2 years    Power: 56 watts;Includes: 1 Ceiling Fan    Mounting Type: Downrod Mount; Material Type: Acrylonitrile Butadiene Styrene; Controller Type: Button Control","Working good
Read more"
6,Kuber Industries Nylon Mesh Laundry Basket|Sturdy Material & Durable Handles|Netted Lightweight Laundry Bag (Assorted),97.,3.7 out of 5 stars,"About this item    PACKAGE CONTAINS: 1 Piece Laundry Basket    MATERIAL: Nylon Mesh    PRODUCT DIMENSION: 70 x 37 x 37 x CM    Segregate your dirty clothes instead of every member of your family leaving their dirty clothes lying around haphazardly, you can place a laundry bag in the bathroom for them to use.    Made of a nylon mesh, this laundry bag is breathable. This nylon mesh laundry bag is also easy to wash and keep clean,","As shown in picture. The quality is not too great but that is expected for something worth 99 rs. Good for short term use. After using for 2 months, I can see some holes. The fabric handle is also not too sturdy and might break if the bag is full of clothes.
Read more"
7,"Prestige PKOSS 1.5 Stainless Steel Electric Kettle 1500W (Silver and Black, 1.5L)",699.,3.9 out of 5 stars,"About this item    Max 3 differentiators Great Features - i)Automatic Cutoff ii) 360 Degree Swivel Base iii)Single Touch lid locking    Voltage: 230V; Wattage: 1500W. Heating Element:Yes    Warranty: 1 Year, BSNL/MTNL    i) Power - 1500 watts ii) Capacity - 1.5L iii) Material- Stainless Steel iv) Concealed Element    Troubleshooting guidelines: i)Never operate the appliance empty ii) Never lift the kettle from the base when the unit is in operation.    The large opening in the top allows easy access to the smooth, seamless Stainless Steel interior for easy cleaning of mineral deposits    Features : Power indicator light that lights up as it begins to boil water and automatic shut-off after boiling ; Its water level indicator enables you to easily measure the amount of water you need    
   Includes: Main Unit, User Manual, Warranty Card. Content: Prestige Electric Kettle-Pkoss1.5(1.5L with Concealed Element and Detachable Power Base) Product Dimensions: 19 cm* 18.5 cm * 21 cm. Weight: 0.75kg   Show More","Works well in this budget range. Build quality not that good. Inside cap cover keep falling apart so i have removed them from all Kettles i have bought. Manufacturer should do the same if can't fix it 😅
Read more"
8,"NutriPro Juicer Mixer Grinder - Smoothie Maker - 500 Watts (3 Jar, Silver)","1,929.",4.2 out of 5 stars,"About this item    Make Smoothies and Juices within seconds.    Also suitable for dry grinding, chutneys and dips    Powerful 500 W copper motor can grind almost any food.    Best in the segment customer support and quality    Includes easy to make and carry sipper jar","The NutriPro Mixer Grinder has made a noticeable difference in my kitchen routine. Its powerful motor effortlessly grinds and blends ingredients to perfection, saving me time and effort. The durable build quality and compact design make it a practical addition to any kitchen. The range of speed settings and preset modes provide versatility for different tasks. Cleaning is a breeze, thanks to the easy-to-disassemble parts. The safety features give me peace of mind during operation. With a variety of accessories included, it offers great value for money. Overall, the NutriPro Mixer Grinder is an efficient and convenient kitchen companion.
Read more"
9,Philips GC1905 1440-Watt Steam Iron with Spray (Blue),"1,849.",4.3 out of 5 stars,"About this item    To Prevent Water Leakage, keep the iron horizontal when not in use, do not fill water completely, leave some gap and wait for some time for the iron to heat up before using the iron    Easy and super fast filling of the watertank,Easy and super fast emptying of the watertank,A fine spray evenly moistens the fabric; Continuous steam output up to 13 g/min,Aluminium soleplate for easy gliding on all fabrics    Warranty: 2 years on product,Power: 1440 watts ; Power Input: 240V and Frequency: 50 Hz ; Water tank capacity: 180ml ; Power cord length: 1.8m ; Calc clean solution: Self clean    Knob should always be at no steam position when product is not in use. Second and third setting is used only when soleplate is hot. Otherwise leakage will happen    Size Name: Free Size","Update as on 28.10.2018:*********************************The power cord has developed twists beyond repair and the seperate cores are now visible,the insulation pvc of the cores doesn't look very durable.I don't know why such standard manufacturers can't provide a decent durable cable?The iron however is performing flawlessly.Still disappointed ,as in coming weeks i'll have to change the cable for sure.Reducing one star for compromising upon the cable quality by such a big brand name.HOW IT STARTED - THE NEED FOR AN IRON:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxRecently , my previous Bajaj make dry iron, which I received as a gift from somewhere, started giving problems after two years of occasional use & with “not so careful handling and care”. Initially, Its wires insulation inside was found rotten around the iron entry point which I repaired myself and later its thermostat started giving problems. Finally, its ON indication went OFF and I decided that it was time to bid goodbye to it and find a new one.Hence, my search for a reputed brand make , best value for money device began .Being from Electrical Engineering background & occupation, I fairly summed up my expectations from the power device as below:1.) DRY IRON VS STEAM IRON :xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxThis was fairly simple if we consider the explanation that a steam iron could perform as a dry iron but vice-versa was not possible. Also, almost always you find some or the other stubborn wrinkles and crease distortions that is hard for the dry iron to overcome and you need to use water for the purpose.On the contrary, As the steam  loosens the individual fibres of the clothes, the steam iron's pressing action smooths out wrinklesHence it was better to be  equipped with the facility in the first place in the device itself.2.) BRAND REPUTATION & WARRANTY:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxAs an average consumer, We are not wrong in generally assuming that products of bigger established brands have a higher quality and perform better. Rightfully so ,A brand which has been working with a product for decades has a plenty of experience & research regarding the possible points of failures of the product and can be surely trusted upon.Following the same footprints I thought not to take bets upon power devices like iron and go with the Super brands like Philips having decades of expertise in this field..Our product comes with a two year global warranty which is quite decent in my opinion .3.) STEAM OUTPUT , STEAM BURST & VERTICAL STEAM FEATURE:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxDuring normal usage with steam a delivery of anything above 8 grams/min is okay but Some ironing jobs such as curtains or quilts require a much more supply of steam. In such cases the steam burst feature comes in handy. Users can push a button to receive a burst of steam when needed. More holes in the sole plate add  to the effectiveness of steam  supplied.Vertical steam feature in theory can direct clouds of steam  in and around vertically hung garments or curtains which eliminates wrinkles without the need for a pressing force.However in practical scenario and by virtue of  its design and water tank limitations , a steam iron is virtually incapable of  addressing the wrinkles like that and  hence paying more for such a feature is not advised.Use dedicated garment steamers for that purpose.** Our Philips GC1905 comes with a variable setting for steam  output with a continuous delivery of  up to 17 grams/min which is quite good.Additionally, It can provide steam burst too for stubborn wrinkles. Vertical steam feature is not available though.4.) ELECTRICAL RELATED FEATURES: WATTAGE, CORD,THERMOSTAT etc.xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxThe simple maths that more watts means more heat or more steam or quick heating is not as simple as it looks.1. Surely, more watts means more heat generated but more wattage limits our ability to plug the iron at any socket in the house as for any power above 1500 Watts , I would suggest to only plug-in to the power sockets.Going for more power demands must be backed up with careful examination as to whether you  really need that much heating if its normal clothes only that you need to iron most of the times.2. Surely, More heat developed  is capable to deliver more steam but that depends upon the number of holes in your sole plate for it to be really effective ,Your water holding tank size and lastly steam delivery settings.Generating too much steam without delivery can be dangerous as it can pressurize the system.3. Last but not the least - More power  doesn’t always mean  quick heating as heating of the sole plate depends upon a number of factors like the material & thickness of the sole plate , Surface area of  the heating element used  inside the soleplate etc.Most of  these intricate details are variable in nature and cannot be specifically mentioned by the manufacturer.** OUR PRODUCT:# Comes with a decent 1440 Watts of power good enough for routine casual use along with occasional use on heavier fabrics.# Comes with a 250 Volts, 10 Amp ( Max. rating of plug is always extra to actual amperage) 3 pin Top which can  be easily plugged into our casual 6 amp sockets as well without any damage to the socket.Hence enhanced mobility & performance.# The cord length is around 1.8 meters which is good enough for any practical lengths,Any more than that would be cumbersome to handle.. The cord  is braided with an insulated  cotton sleeve which is useful for twists as well as insulating during a cable damage.However in due course of use, the cord often develops rigid twists & turns beneath the cotton braiding which is hard to straighten out.So not so great on the cable quality terms.# The cable only comes with 180 degrees of swivel movement, which is quite disappointing and I would  have  really wished if it was 360 degrees of cord freedom.# The thermostat knob for temperature selection comes with regular 5 settings but going with a reputed brand like Philips always assures of a good quality of thermostat.After all, the thermostat is the heart and soul of modern day irons and must be highly durable and reliable.# Lastly our product is an ISI marked product  which is quite an assurance for sure.5.) SOLEPLATE MATERIAL & SHAPE:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxThis is probably the toughest part where each company claims to have the best and easy gliding soleplates.A variety of soleplates are available in the market today like non-stick Teflon coated ,aluminium plates with American  heritage coating, Steel plates with alloys or Ceramic coated.Each has its pros and cons.# Teflon coated plates are easy to get scratched and gather dirt over a period of time.# American Heritage is similar to Teflon and glides over the fabric even better.# Stainless steel is the most durable and easy to clean however may stick to clothes on higher settings.Adds weight to the device. Metal works better than ceramic for pressing in sharp creases on sleeves and trousers.# Good for smooth gliding and even heat distribution  but biggest advantage is to eliminate static charge at high temperatures which may cause clothes to stick.When  ironing on synthetics and fabrics blended with spandex, a ceramic iron will suit your needs best, as ceramic does not stick to these fabrics but the coating may peel off on rough handling.# Aluminium soleplates heat up quickly but are prone to damage and may stick to clothes.** Our Product comes with a linished soleplate which  is quite inadequate detail as linishing is a process of grinding or polishing a surface to make it a perfect flat.# However apart from linishing stuff, I can surely say that the soleplate in our device is decent gliding but not the best gliding, Its heavy but doesn’t stick to the clothes yet.For that matter I trusted  the brand reputation and went ahead with this linished soleplate. Stay away from Teflon coated ones though as its bound to wear off  fast.Regarding the shape , I honestly wanted  it to look like American fighter planes with sharp beak design and dark colors..LOL..However ,those models with my looks were weak in overall specs so had to settle down with this “Still-Decent Looking “model.6.) FEATURES LIKE ANTI DRIP ,ANTI-CALC, GRIP:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxTo tell you the truth these are more of a fancy terms rather than actual purpose  for most of the users. Presence of these features, isn’t a problem  though , as in areas where the water comes hard, Anti-calc may stir and clear the calcium build up ,if any in the water tank.However ,If you use proper water, drain it out timely , Do not fully fill the tank , allow it to heat before using steam  & follow all procedures correctly, you won’t actually need to use these features.Regarding Grip ,Many iron nowadays have some unique design which is set ergonomically to give a better grip.** Our product comes with the anti-calc function  and is decent to grip though I think not ergonomically, still nothing for a deal breaker and these are minor features to discuss upon.7.) PRICE VS PERFORMANCE:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxEven though I did not have any preset price tag in my mind  but still going over 2500 would have definitely felt extreme for a thing that I don’t make use of that much.** I bought it at a price of around 1200 bucks & for  all the features and performance it delivers - I think it is worth it.FINAL VERDICT:xxxxxxxxxxxxxxxxxxxxAll in all , I would just say, that even though our product might not have the best  appealing looks or the best soleplate or  the best burst of steam or the best swivel of the cord , still, what it has is  – a complete package of all the individual features clubbed together in a decent right-performing way, which is hard to come by in an  individual model.
Read more"
